A/SUM-035612/2022,Suministro de medias antiembólicas para el Hospital Universitario El Escorial,;Suministros;,Resuelta,"23,200.00",,Hospital El Escorial,19-11-2022
24864/2022,Gestió integral de l'escola bressol La Granota,;Servicios;,Evaluación,"604,413.95",18/11/2022,Ajuntament del Prat de Llobregat,19-11-2022
E220227,subministrament e instal·lació de videomarceador i sistema de megafonia al Cem Espanya Industrial,;Suministros;,Adjudicada,"36,225.00",14/10/2022,Institut Barcelona Esports,19-11-2022
168 3RMSPT 22,"Els treballs a realitzar estan descrits al del ""Projecte bàsic i executiu d'adequació d'una part de la planta baixa de la Masia de Can Magarola com a taller i magatzem"" que s'incorpora a l'expedient com a recull de les prescripcions tècniques que regiran aquest contracte, i abasten:
-Reforç del sostre
-Paviments
-Paraments interiors
-Instal·lacions d'aigua i llum",;Obras;,Adjudicada,"39,981.49",28/09/2022,Consorci del Parc de la Serralada Litoral,19-11-2022
2022-042210,Suministro de terminales TETRA y accesorios destinados al Área de Seguridad Ciudadana.,;Suministros;,Resuelta,"99,999.25",14/10/2022,Junta de Gobierno de la Villa de Bilbao,19-11-2022
2022-031479,Servicio de evaluación final del Plan de uso del Euskera en el Ayuntamiento de Bilbao,;Servicios;,Resuelta,"31,404.95",07/10/2022,Junta de Gobierno de la Villa de Bilbao,19-11-2022
2022-034279,Suministro de siete vehículos eléctricos y un vehículo híbrido enchufable para su adscripción a Servicios Generales del Ayuntamiento de Bilbao,;Suministros;,Resuelta,"235,537.19",06/10/2022,Junta de Gobierno de la Villa de Bilbao,19-11-2022
2022-044088,Servicios de iluminación y sonido en interiores para los programas organizados por el Área de Cultura,;Servicios;,Resuelta,"28,925.62",07/10/2022,Junta de Gobierno de la Villa de Bilbao,19-11-2022
086/22,Contratación de los servicios de cocktail lunch para los eventos de Fomento de San Sebastián,;Servicios;,Resuelta,"15,146.12",03/10/2022,Gerente,19-11-2022
31/2022,Constituye el objeto del presente contrato la ejecucuión del proyecto de rehabilitación de cubierta del polideportivo de Manteo,;Obras;,Evaluación,"149,084.50",13/10/2022,Gerencia,19-11-2022
X2022004310,"La contractació de les obres del ""Projecte modificat d'urbanització del carrer Guifré el Pilós Fase 1, des del nucli de Vallbona fins a la Riera, al terme municipal d'Alella.""",;Obras;,Resuelta,"237,432.58",06/10/2022,Ajuntament d'Alella,19-11-2022
A/SUM-018245/2022,Suministro e instalación de seis equipos de electromiografía/potenciales evocados para el Servicio de Neurofisiología del Hospital General Universitario Gregorio Marañón,;Suministros;,Adjudicada,"176,350.00",,Hospital General Universitario Gregorio Marañón,19-11-2022
CONTR 2022 0000634310,servicio de vigilancia svd sevilla,;Servicios;,Evaluación,"75,964.98",20/09/2022,Agencia de Servicios Sociales y Dependencia de Andalucía,19-11-2022
CCA.CWWP9WP,"486/2022 CONTR 2022 549188 Suministro de equipamiento para neurofisiología Clínica con destino al Hospital Universitario Juan Ramón Jiménez (HUJRJ), centro integrado en la Central Provincial de Compras de Huelva, financiado con Fondos REACT-EU.",;Suministros;,Evaluación,"210,029.00",06/10/2022,Servicio Andaluz de Salud,19-11-2022
CONTR 2022 0000503499,servicios para oficina técnica de interoperabilidad para el area ambiental,;Servicios;,Adjudicada,"580,012.00",26/08/2022,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible. Secretaría General de Medio Ambiente, Agua y Cambio Climático (En Transición)",19-11-2022
CONTR 2020 0000402104,Redacción de Proyecto De Agrupación Vert. y Depuración Comarcas de Granada,;Servicios;,Adjudicada,"2,418,146.85",28/04/2021,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible. Dirección General de Infraestructuras del Agua (En Transición)",19-11-2022
CCA.CPN-XG3,"CONTR 2022 750408 SIGLO 877/2022 Obras de ampliación y reforma para Unidad de Recuperación de seis puestos y quirófano del Hospital Universitario Virgen de la Victoria de Málaga, financiado con Fondos REACT-EU (Central Provincial de Compras de Málaga)",;Obras;,Evaluación,"746,980.85",17/10/2022,Servicio Andaluz de Salud,19-11-2022
CONTR 2022 0000703507,seguim. arq. apoyo ejec. obras rest.muralla sur cm la alcazaba de almería,;Servicios;,Adjudicada,"100,517.40",17/10/2022,Delegación Territorial de Cultura y Patrimonio Histórico en Almería (En Transición),19-11-2022
CONTR 2022 0000032960,Organiz. y desarrollo Exposición Itinerante ¿Artesanía con A de Andalucía¿,;Servicios;,Evaluación,"115,702.48",14/10/2022,"Consejería de Transformación Económica,Industria,Conocimiento y Universidades. Secretaría General Técnica (En Transición)",19-11-2022
CONTR 2022 0000649434,"Adquisición de la obra de arte denominada ¿Mural. Serie Ópticas¿, de Juan S",;Suministros;,Resuelta,"20,000.00",04/10/2022,Centro Andaluz de Arte Contemporáneo,19-11-2022
2046-07/22,prod programas lo mejor tierra de talento,;Patrimonial;,Resuelta,"74,745.00",,"Canal Sur Radio y Televisión, S.A.",19-11-2022
273/2022/eCONT,Subministrament de l'enllumenat ornamental nadalenc de Vilanova i la Geltrú incloent muntatge i desmuntatge en determinats carrers,;Suministros;,Adjudicada,"48,190.00",23/09/2022,Ajuntament de Vilanova i la Geltrú,19-11-2022
ECAO 811/2022,"ECAO 811/2022 Obres definides en els LOT 3 i 4 de la ""Memòria valorada de la millora de mobilitat i pavimentació a diferents espais de la ciutat"", i el seu annex d'actualització de preus, i en els LOTS 5 i 6 de la ""Memòria valorada Millora en jardineria i propostes SUDS a diferents cruïlles de la ciutat de Terrassa"", amb criteris de contractació pública ecològica, dins el marc de la iniciativa ""NEXT GENERATION EU""",;Obras;,Resuelta,"239,235.97",05/05/2022,Ajuntament de Terrassa,19-11-2022
2187/2022,"L'objecte del contracte és la realització dels treballs de manteniment i estassada del sotabosc a  la franja perimetral de baixa combustibilitat de les urbanitzacions de Collsacreu i Tres Turons per  acomplir els requisits i criteris definits per la normativa, el present plec de clàusules 
particulars, el plec de prescripcions tècniques i les memòries annexades. Per tal de millorar la  seguretat de les persones, habitatges i infraestructures, i disminuir el risc de propagació d'un  incendi urbà cap a l'exterior de la urbanització, i a la inversa.

Les restes vegetals d'estassada i tota la vegetació seca es retirarà o bé es triturarà fins a 
obtenir restes menors de vint centímetres i repartiment uniforme sobre el terreny. En cap cas poden 
romandre restes no triturades sobre la vegetació de la zona.
Lots:
Es divideix en dos lots:
Lot 1: el procés d'execució dels treballs de manteniment de la franja perimetral de baixa  combustibilitat de la urbanització de Collsacreu.

Lot 2: el procés d'execució dels treballs de manteniment de la franja perimetral de baixa combustibilitat de la urbanització de Tres Turons.",;Servicios;,Adjudicada,"33,256.83",26/09/2022,Ajuntament d'Arenys de Munt,19-11-2022
16/2022,Servicio de ayuda domiciliaria en el municipio de Elgoibar,;Servicios;,Evaluación,"327,576.00",20/10/2022,Alcaldesa,19-11-2022
2022/02366,Suministro de equipamiento y reactivos para la realización de secuenciación masiva paralela en el Hospital Universitario Donostia (OSI Donostialdea),;Suministros;,Evaluación,"2,937,433.00",03/11/2022,Director Gerente,19-11-2022
2022/02180,Renovación del alumbrado por tecnología LED en los Centros de Salud de Osakidetza Fase I,;Suministros;,Evaluación,"2,457,974.00",10/10/2022,Director General,19-11-2022
15/2022,Servicios para la infancia (ludoteka) y para la adolescencia (gazteleku),;Servicios;,Evaluación,"322,500.00",28/10/2022,Alcaldesa,19-11-2022
GRBK2022/S/CA220006,"Selección del socio privado de la sociedad de economía mixta que será adjudicataria de la concesión de obras de construcción y explotación de una planta de biometanización para la valorización sostenible, ecoeficiente y tecnológicamente madura de la fracción orgánica del contenedor marrón de Bizkaia",;Concesión de Obras Públicas;,Evaluación,"50,474,000.00",15/11/2022,Consejo de Administración,19-11-2022
2022/22-SA-LI,Obras del Proyecto de Saneamiento de Ezkio (Ezkio-Itsaso) en el marco del proyecto Gipuzkoa 2050 “Territorio 100% circular”.,;Obras;,Evaluación,"1,235,203.86",10/10/2022,Consejo de Gobierno Foral,19-11-2022
PA 3/2022,"El presente contrato tiene por objeto el suministro de un Sistema para la realización de PCR Digital para cuantificación absoluta de ácidos nucleicos, compuesto por: (1) Sistema de PCR Digital con preparador automático de reacciones de PCR.",;Suministros;,Evaluación,"160,000.00",,Fundación para la Investigación Biomédica del Hospital Universitario La Princesa,19-11-2022
2022032473.,"Contractació del subministrament de material tècnic de videoprojecció per al Teatre Municipal finançada, pel ""Pla de Recuperació, Transformació i Resiliència"" - finançat pel fons de la Unió Europea ""Next Generation EU¿",;Suministros;,Adjudicada,"25,000.00",04/10/2022,Ajuntament de Girona,19-11-2022
2209OB07,"L'objecte d'aquesta concurrència és la contractació, per part de la Corporació Catalana de Mitjans Audiovisuals, SA del servei de revisió externa de les projeccions de pressupost realitzades per la Corporació Catalana de Mitjans Audiovisuals.",;Servicios;,Adjudicada,"27,000.00",17/10/2022,"Corporació Catalana de Mitjans Audiovisuals, SA (CCMA, SA)",19-11-2022
